Tile,Reg,Act,Lr1,Lr2,Lr,Lf1,Lf2,Lf,Lq_empirical,Lq_theoretical,lr_source,stochasticity
7,4,1,9.976427885285727e-07,0.41064005240381213,0.4106410500466007,1.000523596584083,1.000677080775524,1.000677080775524,36.58813694954729,21.236618916188863,tile,0.002
7,4,2,4.999043482099467e-07,0.5550362500823314,0.5550367499866796,0.9995662143931823,1.0016767419274333,1.0016767419274333,38.71538302167045,30.236041375756606,tile,0.002
7,4,3,6.682196114476295e-08,1.553218721000083,1.553218787822044,1.0006318222239157,1.0139149597733972,1.0139149597733972,43.312286857157424,244.08862780992243,tile,0.002
8,1,0,0.0032615608515376123,0.0007682321449115109,0.004029792996449124,1.0049619587587717,1.0005763927780038,1.0049619587587717,16.204855624017178,0.2662164461247731,tile,0.002
8,1,1,0.005752399136980361,0.0064267167795859885,0.01217911591656635,0.9999821537974807,1.0001994906503595,1.0001994906503595,17.57167555079417,0.6149671252245946,tile,0.002
8,1,2,0.0013528624961129637,0.00030783190561961646,0.0016606944017325802,1.0059528208942188,1.0002431267799246,1.0059528208942188,19.11691541714005,0.1172290548860554,tile,0.002
8,1,3,0.003344669836116859,0.006883912339827073,0.010228582175943931,1.0000007489564202,1.0001807394308775,1.0001807394308775,12.579341524372612,0.5159989149581198,tile,0.002
9,2,0,0.09485768240753005,0.0693578726169811,0.16421555502451116,0.9996641325176759,1.0001388257991783,1.0001388257991783,37.55068555517573,8.26701381641981,tile,0.002
9,2,1,0.6413345877748996,0.6072019766325147,1.2485365644074142,0.9997801086395408,1.0000080090831824,1.0000080090831824,42.99397283458197,62.45133694003876,tile,0.002
9,2,2,0.1363068620388648,0.13465565383721756,0.27096251587608233,1.000649045646892,1.0002860109185923,1.000649045646892,38.71060011903381,13.993153362333658,tile,0.002
9,2,3,0.24675857555559436,0.2362338889835789,0.4829924645391732,1.0000086445667367,0.9994682212022898,1.0000086445667367,40.68257657966362,24.159856950250663,tile,0.002
10,2,0,0.06745990158196657,0.06342971694940862,0.1308896185313752,0.9996641325176759,1.0001388257991783,1.0001388257991783,35.44538879193209,6.5893044338174045,tile,0.002
10,2,1,0.7226797765183332,0.6508682642999185,1.3735480408182517,0.9997801086395408,1.0000080090831824,1.0000080090831824,43.368397947130674,68.70436473054674,tile,0.002
10,2,2,0.2318528574350637,0.18481900572955134,0.416671863164615,1.000649045646892,1.0002860109185923,1.000649045646892,42.188261685320036,21.51793307712796,tile,0.002
10,2,3,0.15576812025559272,0.1671078570609227,0.3228759773165154,1.0000086445667367,0.9994682212022898,1.0000086445667367,38.741858082082565,16.15064001481273,tile,0.002
11,5,0,0.0027793869166964406,0.0035922138909807062,0.006371600807677147,1.0,0.9999999933426447,1.0,12.039552050205055,0.31858004038385707,tile,0.002
11,5,1,0.03179803207567646,0.004876079582191208,0.03667411165786767,0.9999999999171865,1.0000000009401526,1.0000000009401526,15.100372774742517,1.8337056673675767,tile,0.002
11,5,2,0.03576383886397233,0.010499415513584217,0.046263254377556545,0.9999999929300953,0.9999999816380749,0.9999999929300953,14.208937540245305,2.3131619175399507,tile,0.002
11,5,3,0.0020789320802865135,0.001401178106792131,0.0034801101870786445,1.000000013256682,1.0,1.000000013256682,10.761899449086208,0.1740056223840543,tile,0.002
12,3,0,0.005611307917227723,0.01878905535773863,0.024400363274966353,1.000970738587633,1.000737440045717,1.000970738587633,19.969833541187796,1.2809479797503258,tile,0.002
12,3,1,0.015628831660918167,0.03789239365318939,0.05352122531410755,1.000778380592026,1.0005132018713743,1.000778380592026,29.900348359809914,2.7821752348189066,tile,0.002
12,3,2,0.003735887375249315,0.01113832403971159,0.014874211414960904,1.003775768437888,1.0005690334102213,1.003775768437888,19.188840955127286,0.912542475539361,tile,0.002
12,3,3,0.03739905740207827,0.16413309778498075,0.20153215518705903,1.0007135516563634,1.0032175533171086,1.0032175533171086,29.269738006360157,11.962638727364512,tile,0.002
13,1,0,1.4133359085881596,1.6173330246389785,3.030668933227138,1.0049619587587717,1.0005763927780038,1.0049619587587717,27.356679349758977,200.2122475014014,tile,0.002
13,1,1,1.9245283757050806,1.7273043988482641,3.6518327745533448,0.9999821537974807,1.0001994906503595,1.0001994906503595,26.301614972840298,184.3940987632188,tile,0.002
13,1,2,1.2619426105549225,1.1479894411998515,2.409932051754774,1.0059528208942188,1.0002431267799246,1.0059528208942188,34.38506965411925,170.11802802013506,tile,0.002
13,1,3,1.6500331300154285,1.6547969373726048,3.3048300673880333,1.0000007489564202,1.0001807394308775,1.0001807394308775,24.949697537264363,166.71799664510442,tile,0.002
14,4,0,1.556650981992699,1.476874020878206,3.0335250028709053,1.0007223723687428,1.005160051926774,1.005160051926774,29.964962978825444,203.00439888425424,tile,0.002
14,4,1,1.6805525590930341,1.863363383533982,3.543915942627016,1.000523596584083,1.000677080775524,1.000677080775524,31.672043105770243,183.27634885999677,tile,0.002
14,4,2,1.489378485952039,1.5749333997734516,3.0643118857254903,0.9995662143931823,1.0016767419274333,1.0016767419274333,18.860693793108023,166.930677954644,tile,0.002
14,4,3,1.241962886180412,1.114929027029549,2.356891913209961,1.0006318222239157,1.0139149597733972,1.0139149597733972,35.00848666183809,370.3860122619342,tile,0.002
15,4,0,0.023198702256136315,0.050855024651440206,0.07405372690757653,1.0007223723687428,1.005160051926774,1.005160051926774,25.789298961756337,4.955697514206726,tile,0.002
15,4,1,0.04123241902568288,0.07859169315652703,0.11982411218220991,1.000523596584083,1.000677080775524,1.000677080775524,30.088968268759928,6.196796465174343,tile,0.002
15,4,2,0.09748676404720646,0.15316156731958877,0.2506483313667952,0.9995662143931823,1.0016767419274333,1.0016767419274333,33.08076122651409,13.654254998705316,tile,0.002
15,4,3,0.012671392392376728,0.02100454256890721,0.03367593496128394,1.0006318222239157,1.0139149597733972,1.0139149597733972,23.883418944441296,5.292179581758809,tile,0.002
